Arpu,Bytes,CLV,Gameqoo,Hari_Ps,Indibox,Is_Churn2,Is_Churn3,Is_Churn,Is_Usage_Inet,Is_Usage_Voice,Jml_Tiket,Kwadran_Indihome,Lart,List_Asset,Ltarif,Minipack,Number of Records,Plblcl,PLC,Product,Range_Umur,Speed,Stb2,Stb3,STO,Techno,Upgrade_Speed,Usage,Wifi_Ext
580825,1.11745E+11,34849500,0,07/03/2015 00:00,0,NON CHURN,0,0,1,0,0,4,C17048 = CS17-Program Upgrade Speed Baru,7,C17048-INETF20M-Upgrade Speed Baru 290000,0,1,PL,0,3P (POTS-INTERNET-IPTV),f. 5-6 thn,20480,0,0,LGK,FIBER,0,100GB-200GB,0
341356,2.39052E+11,6485764,0,12/26/2018 12:00:00 AM,0,NON CHURN,0,0,1,0,9,4,C17052 = CS17 - New Indihome Netizen II INET ( without MOVIN),4,C17052-INETF10M-NETIZEN II 195000,0,1,PL,0,3P (POTS-INTERNET-IPTV),d. 1-2 thn,20480,0,0,CWA,FIBER,0,>200 GB,0
346500,,6583500,0,12/11/2018 00:00,0,CHURN,1,0,1,0,0,4,C17052 = CS17 - New Indihome Netizen II INET ( without MOVIN),4,C17052-INETF10M-NETIZEN II 195000,0,1,PL,0,3P (POTS-INTERNET-IPTV),d. 1-2 thn,10240,0,0,TPR,FIBER,0,NO USAGE,0
308356,2.37868E+11,4316984,0,5/22/2019 12:00:00 AM,0,CHURN,1,0,0,0,0,4,C19044 = CS19 - IndiHome New Netizen 2 (INET + OTT),7,C19044-INETF10M-210k 210000,0,1,PL,0,3P (POTS-INTERNET-IPTV),d. 1-2 thn,10240,0,0,TBE,NON FIBER,0,>200 GB,0
434500,1.24957E+11,14338500,0,10/19/2017 12:00:00 AM,0,CHURN,1,0,1,0,0,4,C17029 = CS17 - New Indihome Lower Value INET,5,C17029-INETF10M-Revisi 1 190000,1,1,PL,0,3P (POTS-INTERNET-IPTV),e. 3-4 thn,10240,0,0,GAN,FIBER,0,100GB-200GB,0
688812,5.09012E+11,19286736,0,3/26/2018 12:00:00 AM,0,NON CHURN,0,0,1,0,9,4,C18010 = CS18 - Indihome Khusus Imlek INET,8,C18010-INETFL20M-280K 280000,4,1,PL,0,3P (POTS-INTERNET-IPTV),e. 3-4 thn,20480,0,0,CPA,FIBER,0,>200 GB,0
497310,1.52092E+11,38292870,0,02/08/2014 00:00,0,NON CHURN,0,0,1,0,4,4,,5,,0,1,PL,0,3P (POTS-INTERNET-IPTV),g. 7-8 thn,10240,0,0,JBB,FIBER,0,100GB-200GB,0
464858,7899135407,9297160,0,11/26/2018 5:19:10 PM,0,NON CHURN,0,0,1,0,0,4,C18166 = CS18 - Sensasi Extra Akhir Tahun 2018 Internet,6,C18166-INETFL20M-280k 280000,0,1,PL,0,3P (POTS-INTERNET-IPTV),d. 1-2 thn,20480,0,0,GPI,FIBER,0,< 20GB,0
346500,63681821236,6237000,0,1/13/2019 12:00:00 AM,0,NON CHURN,0,0,1,0,2,4,C19189 = CS19 - IndiHome Streamix INET,4,C19189-INETF20M-265k 265000,0,1,PL,0,3P (POTS-INTERNET-IPTV),d. 1-2 thn,10240,0,0,JTN,FIBER,0,20GB-100 GB,0
296694,1.39785E+11,4153716,0,5/17/2019 12:00:00 AM,0,NON CHURN,0,0,1,0,6,4,C19156 = CS19 - Program Upgrade IndiHome - INET,4,C19156-INETF20M-Upgrade IndiHome Opsi 1_210k 210000,0,1,PL,0,3P (POTS-INTERNET-IPTV),d. 1-2 thn,10240,0,0,SRP,FIBER,0,100GB-200GB,0
352000,65613414387,5280000,0,04/07/2019 14:11,0,NON CHURN,0,0,1,0,0,4,C17048 = CS17-Program Upgrade Speed Baru,4,C17048-INETF20M-Upgrade Speed Baru 290000,0,1,PL,0,3P (POTS-INTERNET-IPTV),d. 1-2 thn,10240,0,0,PAR,FIBER,0,20GB-100 GB,0
401855,3.40509E+11,10850085,0,04/09/2018 00:00,0,CHURN,1,0,1,0,0,4,C18010 = CS18 - Indihome Khusus Imlek INET,7,C18010-INETFL20M-280K 280000,1,1,PL,0,3P (POTS-INTERNET-IPTV),e. 3-4 thn,20480,0,0,CUG,FIBER,0,>200 GB,0
496977,2.73447E+11,8448609,0,02/10/2019 00:00,0,CHURN,1,0,1,0,0,4,C18166 = CS18 - Sensasi Extra Akhir Tahun 2018 Internet,9,C18166-INETFL10M-210k 210000,2,1,PL,0,3P (POTS-INTERNET-IPTV),d. 1-2 thn,10240,1,0,KAL,FIBER,0,>200 GB,0
489500,14237910672,16643000,0,09/04/2017 18:18,0,CHURN,1,0,1,0,0,4,C17045 = CS17- Indihome Kemerdekaan (INTERNET),4,C17045-INETF20M-PROMO KEMERDEKAAN 290000,0,1,PL,0,3P (POTS-INTERNET-IPTV),e. 3-4 thn,20480,0,0,SPL,FIBER,0,< 20GB,0
0,,0,0,12/06/2015 00:00,0,CHURN,1,1,0,0,0,2,ES1502 = ES - Paket 2Play untuk Kawasan KGS-MOI HD,5,ES1502-INETR10M3-2Play KGS MOI 150000,1,1,PL,0,3P (POTS-INTERNET-IPTV),f. 5-6 thn,10240,0,0,KLG,FIBER,0,NO USAGE,0
486662,1.36171E+11,5839944,0,7/19/2019 12:00:00 AM,0,CHURN,1,0,1,0,0,4,C19044 = CS19 - IndiHome New Netizen 2 (INET + OTT),7,C19044-INETF10M-210k 210000,0,1,PL,0,3P (POTS-INTERNET-IPTV),d. 1-2 thn,20480,0,0,TAR,FIBER,0,100GB-200GB,0
869000,4.36424E+11,48664000,0,11/25/2015 12:00:00 AM,0,NON CHURN,0,0,1,0,4,4,C19156 = CS19 - Program Upgrade IndiHome - INET,14,C19156-INETF50M-Upgrade IndiHome 400000,5,1,PL,1,3P (POTS-INTERNET-IPTV),f. 5-6 thn,20480,1,0,TPR,FIBER,0,>200 GB,0
473000,2.89655E+11,13717000,0,02/01/2018 00:00,0,NON CHURN,0,0,1,0,3,4,C17102 = CS17 - Netizen I NARU 2017 Tambahan (INET),4,C17102-INETFL20M-NARU 280000,0,1,PL,0,3P (POTS-INTERNET-IPTV),e. 3-4 thn,20480,0,0,CKA,FIBER,0,>200 GB,0
1391500,1.88341E+11,34787500,0,6/25/2018 12:00:00 AM,0,NON CHURN,0,0,1,0,0,4,C17026 = CS17 - New Indihome Premium INET,11,C17026-INETF50M-Standard 700000,6,1,PL,0,3P (POTS-INTERNET-IPTV),e. 3-4 thn,51200,0,0,MRY,FIBER,0,100GB-200GB,0
585750,1.51654E+11,9372000,0,03/05/2019 00:00,0,CHURN,1,0,1,0,0,4,C19027 = CS19 - IndiHome Value INET + OTT,13,C19027-INETF10M-200k 200000,5,1,PL,0,3P (POTS-INTERNET-IPTV),d. 1-2 thn,10240,0,0,LKG,FIBER,0,100GB-200GB,0
391741,2.2311E+11,9401784,0,7/13/2018 12:00:00 AM,0,NON CHURN,0,0,1,0,0,4,C18024 = CS18 - New Internet Indihome Penuh Berkah,6,C18024-INETFL10M-210k 210000,0,1,PL,0,3P (POTS-INTERNET-IPTV),e. 3-4 thn,10240,0,0,JAG,NON FIBER,0,>200 GB,0
921162,3.41927E+11,23029050,0,06/08/2018 00:00,0,NON CHURN,0,0,1,0,0,4,C19156 = CS19 - Program Upgrade IndiHome - INET,9,C19156-INETF100M-Upgrade IndiHome 750000,4,1,PL,0,3P (POTS-INTERNET-IPTV),e. 3-4 thn,30720,0,0,CPE,FIBER,0,>200 GB,0
