"Arpu","Bytes","CLV","Indibox","Is_Churn2","Is_Usage_Inet","Jml_Tiket","Kwadran_Indihome","Lart","List_Asset","Ltarif","Minipack","PLC","Product","Range_Umur","Speed","Stb2","STO","Techno","Upgrade_Speed","Usage","Wifi_Ext"
341356,239052000000,6485764,0,"NON CHURN",1,9,4,"C17052 = CS17 - New Indihome Netizen II INET ( without MOVIN)",4,"C17052-INETF10M-NETIZEN II 195000",0,0,"3P (POTS-INTERNET-IPTV)","d. 1-2 thn",20480,0,"CWA","FIBER",0,">200 GB",0
308356,237868000000,4316984,0,"CHURN",0,0,4,"C19044 = CS19 - IndiHome New Netizen 2 (INET + OTT)",7,"C19044-INETF10M-210k 210000",0,0,"3P (POTS-INTERNET-IPTV)","d. 1-2 thn",10240,0,"TBE","NON FIBER",0,">200 GB",0
434500,124957000000,14338500,0,"CHURN",1,0,4,"C17029 = CS17 - New Indihome Lower Value INET",5,"C17029-INETF10M-Revisi 1 190000",1,0,"3P (POTS-INTERNET-IPTV)","e. 3-4 thn",10240,0,"GAN","FIBER",0,"100GB-200GB",0
688812,509012000000,19286736,0,"NON CHURN",1,9,4,"C18010 = CS18 - Indihome Khusus Imlek INET",8,"C18010-INETFL20M-280K 280000",4,0,"3P (POTS-INTERNET-IPTV)","e. 3-4 thn",20480,0,"CPA","FIBER",0,">200 GB",0
401855,340509000000,10850085,0,"CHURN",1,0,4,"C18010 = CS18 - Indihome Khusus Imlek INET",7,"C18010-INETFL20M-280K 280000",1,0,"3P (POTS-INTERNET-IPTV)","e. 3-4 thn",20480,0,"CUG","FIBER",0,">200 GB",0
496977,273447000000,8448609,0,"CHURN",1,0,4,"C18166 = CS18 - Sensasi Extra Akhir Tahun 2018 Internet",9,"C18166-INETFL10M-210k 210000",2,0,"3P (POTS-INTERNET-IPTV)","d. 1-2 thn",10240,1,"KAL","FIBER",0,">200 GB",0
489500,14237910672,16643000,0,"CHURN",1,0,4,"C17045 = CS17- Indihome Kemerdekaan (INTERNET)",4,"C17045-INETF20M-PROMO KEMERDEKAAN 290000",0,0,"3P (POTS-INTERNET-IPTV)","e. 3-4 thn",20480,0,"SPL","FIBER",0,"< 20GB",0
486662,136171000000,5839944,0,"CHURN",1,0,4,"C19044 = CS19 - IndiHome New Netizen 2 (INET + OTT)",7,"C19044-INETF10M-210k 210000",0,0,"3P (POTS-INTERNET-IPTV)","d. 1-2 thn",20480,0,"TAR","FIBER",0,"100GB-200GB",0
869000,436424000000,48664000,0,"NON CHURN",1,4,4,"C19156 = CS19 - Program Upgrade IndiHome - INET",14,"C19156-INETF50M-Upgrade IndiHome 400000",5,1,"3P (POTS-INTERNET-IPTV)","f. 5-6 thn",20480,1,"TPR","FIBER",0,">200 GB",0
1391500,188341000000,34787500,0,"NON CHURN",1,0,4,"C17026 = CS17 - New Indihome Premium INET",11,"C17026-INETF50M-Standard 700000",6,0,"3P (POTS-INTERNET-IPTV)","e. 3-4 thn",51200,0,"MRY","FIBER",0,"100GB-200GB",0
585750,151654000000,9372000,0,"CHURN",1,0,4,"C19027 = CS19 - IndiHome Value INET + OTT",13,"C19027-INETF10M-200k 200000",5,0,"3P (POTS-INTERNET-IPTV)","d. 1-2 thn",10240,0,"LKG","FIBER",0,"100GB-200GB",0
391741,223110000000,9401784,0,"NON CHURN",1,0,4,"C18024 = CS18 - New Internet Indihome Penuh Berkah",6,"C18024-INETFL10M-210k 210000",0,0,"3P (POTS-INTERNET-IPTV)","e. 3-4 thn",10240,0,"JAG","NON FIBER",0,">200 GB",0
921162,341927000000,23029050,0,"NON CHURN",1,0,4,"C19156 = CS19 - Program Upgrade IndiHome - INET",9,"C19156-INETF100M-Upgrade IndiHome 750000",4,0,"3P (POTS-INTERNET-IPTV)","e. 3-4 thn",30720,0,"CPE","FIBER",0,">200 GB",0
806995,499699514,58103640,0,"NON CHURN",1,0,4,"C17048 = CS17-Program Upgrade Speed Baru",7,"C17048-INETF30M-Upgrade Speed Baru 450000",1,0,"3P (POTS-INTERNET-IPTV)","g. 7-8 thn",30720,0,"KRG","FIBER",0,"< 20GB",0
407000,60055512742,21978000,0,"NON CHURN",1,0,4,"C15004 = CS - FTTH New Indihome Internet Super Winning Z1",4,"INETR10M : New Pemenangan 210000",0,0,"3P (POTS-INTERNET-IPTV)","f. 5-6 thn",10240,0,"MKR","FIBER",0,"20GB-100 GB",0
597232,357191000000,26875440,0,"NON CHURN",1,0,4,"C16097 = CS16 - INTERNET indiHOME Deluxe w/ Movin",8,"C16097 - INETF10M - Standard 245000",2,0,"3P (POTS-INTERNET-IPTV)","e. 3-4 thn",10240,0,"BGG","FIBER",0,">200 GB",0
358210,25516936817,12179140,0,"NON CHURN",1,1,4,"C19156 = CS19 - Program Upgrade IndiHome - INET",6,"C19156-INETF20M-Upgrade IndiHome Opsi 1_210k 210000",0,0,"3P (POTS-INTERNET-IPTV)","e. 3-4 thn",10240,0,"CLD","FIBER",0,"20GB-100 GB",0
346500,25709635290,5890500,0,"NON CHURN",1,2,4,"C17052 = CS17 - New Indihome Netizen II INET ( without MOVIN)",4,"C17052-INETF10M-NETIZEN II 195000",0,0,"3P (POTS-INTERNET-IPTV)","d. 1-2 thn",10240,0,"PKY","FIBER",0,"20GB-100 GB",0
489500,331667000000,16153500,0,"NON CHURN",1,1,4,"C17045 = CS17- Indihome Kemerdekaan (INTERNET)",4,"C17045-INETF20M-PROMO KEMERDEKAAN 290000",0,0,"3P (POTS-INTERNET-IPTV)","e. 3-4 thn",20480,0,"CBB","FIBER",0,">200 GB",0
151690,69627686363,10011540,0,"NON CHURN",1,1,4,"SPDF10 = Internet Fixed Pricing Winning Zone 1",2,"SPDF10-INETR1M1-Fixed Pricing26104 195000",0,0,"2P-NETIZEN (POTS-INTERNET)","f. 5-6 thn",1024,0,"CPD","FIBER",0,"20GB-100 GB",0
863500,99791337,40584500,0,"NON CHURN",1,0,4,"C17048 = CS17-Program Upgrade Speed Baru",4,"C17048-INETF40M-Upgrade Speed Baru 550000",0,0,"3P (POTS-INTERNET-IPTV)","e. 3-4 thn",40960,0,"KBY","FIBER",0,"< 20GB",0
407711,143858000000,4892532,0,"CHURN",1,0,4,"C19044 = CS19 - IndiHome New Netizen 2 (INET + OTT)",10,"C19044-INETF10M-210k 210000",1,0,"3P (POTS-INTERNET-IPTV)","d. 1-2 thn",10240,0,"JTN","FIBER",0,"100GB-200GB",0
506000,85997743787,10120000,0,"CHURN",1,0,4,"C17052 = CS17 - New Indihome Netizen II INET ( without MOVIN)",6,"C17052-INETF10M-NETIZEN II 195000",2,0,"3P (POTS-INTERNET-IPTV)","d. 1-2 thn",10240,0,"PKY","FIBER",0,"20GB-100 GB",0
229405,121558000000,3211670,0,"CHURN",1,0,4,"C19061 = CS19 - IndiHome Value Varian Baru INET + OTT",7,"C19061-INETF10M-200k 200000",0,0,"3P (POTS-INTERNET-IPTV)","d. 1-2 thn",10240,0,"BJO","NON FIBER",0,"100GB-200GB",0
613668,85289009315,14114364,0,"NON CHURN",1,5,4,"C17048 = CS17-Program Upgrade Speed Baru",10,"C17048-INETF30M-Upgrade Speed Baru 450000",2,0,"3P (POTS-INTERNET-IPTV)","d. 1-2 thn",30720,0,"KRG","FIBER",0,"20GB-100 GB",0
420200,98274003247,6303000,0,"CHURN",1,0,4,"C19027 = CS19 - IndiHome Value INET + OTT",9,"C19027-INETF10M-200k 200000",1,0,"3P (POTS-INTERNET-IPTV)","d. 1-2 thn",10240,0,"KSB","FIBER",0,"20GB-100 GB",0
539000,72660533087,12936000,0,"CHURN",1,0,4,"C18024 = CS18 - New Internet Indihome Penuh Berkah",6,"C18024-INETFL30M-370k 370000",0,0,"3P (POTS-INTERNET-IPTV)","e. 3-4 thn",30720,0,"KTZ","FIBER",0,"20GB-100 GB",0
440000,150720000000,8360000,0,"CHURN",1,5,4,"C18166 = CS18 - Sensasi Extra Akhir Tahun 2018 Internet",6,"C18166-INETFL20M-280k 280000",1,0,"3P (POTS-INTERNET-IPTV)","d. 1-2 thn",20480,0,"KLD","FIBER",0,"100GB-200GB",0
456500,44237681261,11412500,0,"CHURN",1,0,4,"C18024 = CS18 - New Internet Indihome Penuh Berkah",6,"C18024-INETFL20M-280k 280000",0,0,"3P (POTS-INTERNET-IPTV)","e. 3-4 thn",20480,0,"CKG","FIBER",0,"20GB-100 GB",0
82500,339452000000,1155000,0,"CHURN",1,0,4,"C19027 = CS19 - IndiHome Value INET + OTT",9,"C19027-INETF20M-290k 290000",1,0,"3P (POTS-INTERNET-IPTV)","d. 1-2 thn",20480,0,"JTN","FIBER",0,">200 GB",0
346500,31158233254,5197500,0,"CHURN",1,0,4,"C17052 = CS17 - New Indihome Netizen II INET ( without MOVIN)",4,"C17052-INETF10M-NETIZEN II 195000",0,0,"3P (POTS-INTERNET-IPTV)","d. 1-2 thn",10240,0,"TPR","FIBER",0,"20GB-100 GB",0
346500,59124643899,5544000,0,"CHURN",1,0,4,"C17052 = CS17 - New Indihome Netizen II INET ( without MOVIN)",4,"C17052-INETF10M-NETIZEN II 195000",0,0,"3P (POTS-INTERNET-IPTV)","d. 1-2 thn",10240,0,"CLD","FIBER",0,"20GB-100 GB",0
